benchmark_seed,strategy,step,query_id,candidate_id,C1,C2,C3,C4,simulator_seed,simulated_lifetime,reference_true_lifetime,is_off_grid,min_distance_to_grid,is_new_vs_observed,min_distance_to_observed
0,random,1,Q_S00_random_ST01,ATTIA_CONT_eb98ec3672bd,5.509697204438522,5.192694258806005,4.507640728187264,4.2120983775943825,1674240262,1048.0,998.0,True,0.05764075919128206,True,0.5456143126519015
0,random,2,Q_S00_random_ST02,ATTIA_CONT_76dd298c3ebf,7.89904834061219,6.400311685454989,3.6774662528398707,3.5897999244643533,382207157,697.0,662.0,True,0.12605185742754876,True,0.987594320707412
0,random,3,Q_S00_random_ST03,ATTIA_CONT_9b3a8e225184,5.908827467445349,4.1246432578003445,4.8030857887877385,4.684930864368196,119057213,781.0,944.0,True,0.04213883253397016,True,0.4097644075529457
0,random,4,Q_S00_random_ST04,ATTIA_CONT_82ce266407c7,6.528963339686844,4.94568803518988,4.639627764221489,3.810412282447076,801070830,939.0,815.0,True,0.14045070191259398,True,0.32087256306862905
0,random,5,Q_S00_random_ST05,ATTIA_CONT_a306132a4fa1,7.620849506174832,6.519220311478906,4.817928051244651,2.9311442993759895,747670249,278.0,616.0,True,0.16583521335803514,True,0.3919463451994744
0,random,6,Q_S00_random_ST06,ATTIA_CONT_85a2a6f237f0,6.268297515342024,3.9889385720710093,5.127307155471593,4.384561570811974,564042372,709.0,854.0,True,0.07106198486300641,True,0.21454089049147113
0,random,7,Q_S00_random_ST07,ATTIA_CONT_349637aa80b3,5.677886791190438,6.804722189575907,4.983556807004012,3.230028396203272,160144771,828.0,645.0,True,0.10970578391736609,True,0.34084819688338835
0,random,8,Q_S00_random_ST08,ATTIA_CONT_c26f1c19ccab,6.819606149806182,4.0932052000794625,5.481545356309098,3.846750524144825,1049119850,961.0,772.0,True,0.0770730156447495,True,0.19480407264082703
0,random,9,Q_S00_random_ST09,ATTIA_CONT_2cd129627fb0,6.8193682784886125,6.581880636395484,3.8760972877804436,3.613128410226219,385608225,774.0,681.0,True,0.14368875399898673,True,0.3339040838400473
0,random,10,Q_S00_random_ST10,ATTIA_CONT_cd2f18032f3d,4.777636049598913,5.489452509385389,5.473137903081369,3.8588177984364322,434736053,595.0,830.0,True,0.07145970902890739,True,0.3332182235163795
0,random,11,Q_S00_random_ST11,ATTIA_CONT_b4037f058216,7.971796773418928,4.43560560773744,5.111143607921107,3.4868499070160492,670920216,353.0,669.0,True,0.04609358100221731,True,0.32170374087390285
0,random,12,Q_S00_random_ST12,ATTIA_CONT_2244cb6746dd,5.942807944194232,5.760322558166355,4.170395471688451,3.973364043017004,899303741,953.0,765.0,True,0.0982399006074228,True,0.30047629034275364
0,random,13,Q_S00_random_ST13,ATTIA_CONT_07b482677239,7.454787819622009,4.42728371863803,4.534750675172811,3.9556972384598623,751556562,644.0,826.0,True,0.12364182037151582,True,0.32320504236877695
0,random,14,Q_S00_random_ST14,ATTIA_CONT_a4401cdc6225,6.231378938132396,6.957065793878723,5.170831732943935,2.9786375171084396,238645448,676.0,629.0,True,0.05601300037429511,True,0.1942063734723215
0,random,15,Q_S00_random_ST15,ATTIA_CONT_69e7623db589,7.9284597034996445,5.559143334794056,4.800970871433581,3.1344975710356877,600361063,939.0,643.0,True,0.0202236530767041,True,0.3348628688354368
0,random,16,Q_S00_random_ST16,ATTIA_CONT_01ff06e912ee,6.5580915949549405,5.111767078614441,5.587750785757402,3.265199529715414,386521187,630.0,676.0,True,0.10391290445092928,True,0.3557942501547712
0,random,17,Q_S00_random_ST17,ATTIA_CONT_d77a45984537,7.70349849791851,5.695524761245259,5.111084409553152,3.009396475731438,567665934,719.0,626.0,True,0.08547994912151811,True,0.1800889174930624
0,random,18,Q_S00_random_ST18,ATTIA_CONT_46b819ff4cb3,5.162300160872651,5.467415572342908,4.498362169796077,4.265914419177308,1990348420,826.0,934.0,True,0.06334694150462399,True,0.1343508212067184
0,random,19,Q_S00_random_ST19,ATTIA_CONT_c761a46a436c,4.112885478166637,6.163749146126573,4.7540867994773635,4.595360771263302,1052264312,976.0,970.0,True,0.05920098369434717,True,0.20943455463557234
0,random,20,Q_S00_random_ST20,ATTIA_CONT_80fb6d4c243e,4.454311205317347,6.485065384678739,4.1956911833490915,4.623389577446727,1639728123,806.0,879.0,True,0.17590211548402518,True,0.19581742357189819
0,random,21,Q_S00_random_ST21,ATTIA_CONT_aa53e8215ed4,5.526944946454128,5.789952259872351,4.149463820103455,4.189471999998283,1100334050,738.0,859.0,True,0.09477236006755352,True,0.10878155192412543
0,random,22,Q_S00_random_ST22,ATTIA_CONT_e47f84fd4787,7.876732991242598,5.962263091061999,3.8584064485951974,3.5780576706587737,1862370965,690.0,651.0,True,0.076943007080092,True,0.17546000347104057
